No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
414,126867263,404157,112265.80,3701,147.90,75.50,45.90,9.80,14.10,8.20,7.60,5.20,2.70
413,111920466,196605.90,39321.20,2621.40,172.20,91.50,43.20,11.40,15.60,10.30,8.10,6,3.30
412,101404135,245597.20,33709.40,2558.30,135,77.50,33.60,9.60,10.80,8.80,5.60,5.30,3
411,87376837,242189.10,40364.80,2306.50,113.80,61,30.10,8.20,9.90,7.60,5.20,4.80,2.80
410,78976312,80504.90,25256.40,980.20,74.70,47.40,17,6.50,6.20,7,3.70,4,2.50
409,65488523,206769.90,0,3362.10,160.30,89.40,34.80,9.80,11.40,8.90,6.20,5.10,2.80
408,58085462,0,24627.50,4453.90,120.50,46.40,54.40,9.30,17.80,6.50,9.60,5.60,2.40
407,47058914,0,32997.10,2179,129.30,71.30,31.40,8.40,9.20,7.70,4.90,4.50,2.50
406,40675287,206090.10,29441.40,1338.20,85.90,60.30,20.70,6.30,8.10,7.30,4.90,4.30,2.60
405,30055771,0,0,3441.60,162,65.30,57.40,10.50,17.10,7.10,9.10,5.60,2.30
404,23440309,610164.70,31290.40,5811,183.80,70.40,67.50,12.30,21.50,7.80,11.50,6.60,2.40
403,13080000,0,54774.80,1422.70,86.30,56.20,23.40,7,8.10,7.10,4.90,4.20,2.50
402,23933989,417450.70,37950,3313.10,107.60,50.50,48.10,8.80,16.40,6.90,9.20,5.30,2.50
401,13272000,362346.90,30195.50,4313.60,155.40,59.40,57.40,10.10,18.80,7.40,10.20,5.60,2.50
400,6612750,107259.60,39328.50,2286.50,125.40,65.70,30.30,8.50,9.60,7.70,5.10,5,2.60
399,20319793,0,42950.60,1952.30,111,63.70,28.10,8.50,8.90,7.90,4.80,4.60,2.70
398,13173000,0,61038.10,3338,162.50,88.70,44.70,10.40,12.90,9.70,6.60,5.10,2.90
397,161653000,1779995,56753.40,3669.40,165.70,73,58.60,11.60,19.30,8.70,10.40,6.40,2.90
396,164761000,3314251.30,46893.80,3962.80,172.90,77.20,53.80,10.90,17,8.60,9,5.80,2.80
395,159008879,219221.40,46976,3192.50,148.30,74.60,40.40,9.60,12.20,8.50,6.40,5.10,2.80
394,141820902,159128.50,26521.40,2923.60,108.10,59.60,42.30,8.10,13.60,7.60,7.40,4.70,2.60
393,120687895,261260.20,48381.50,4268.90,164.60,79.50,49.30,10.20,14.20,8.90,7.30,5.10,2.80
392,107428374,588791.60,17842.10,3345.40,147.40,61.90,54.70,10.80,18.10,7.60,9.70,6,2.60
391,91693456,0,37297.50,4303.50,144.50,73,44.80,10,13.50,8.50,6.80,5.20,2.70
390,82001875,157221.20,40313.10,2278.50,112.30,61,29.10,7.80,9.50,6.90,5.20,4.60,2.60
389,68132630,0,45003.10,3857.40,162.20,63.80,60.50,10.50,18.70,7.40,10,5.80,2.40
388,60872491,294622.40,37772.10,5455.90,179.40,79.60,65.50,12.40,20.70,8.70,10.80,6.70,2.70
387,48962688,282940.50,47156.70,3627.40,183.90,80.10,61.40,12.30,19.20,8.80,9.90,6.50,2.80
386,41359053,249617.50,46225.40,3924.80,172,88.20,42.80,11.60,11.80,10.60,5.40,5.70,3.30
385,29730067,0,29040.30,1722.70,85.50,41,40.40,7.20,14.30,5.70,8.30,4.50,2.20
384,23752200,149598.10,26595.20,2493.30,86.10,52.70,39.40,7.10,13,6.90,7.40,4.40,2.50
383,13102500,105602.30,0,4061.60,116.50,69,35.20,9,11.30,8.20,6.10,5,2.80
382,24115451,163385.50,33514.90,4951,172.90,65.90,72.10,11.30,21.50,7.30,11.40,6.30,2.50
381,13143000,229830.50,38305,4104.10,194.80,108.30,58.70,12.30,16.90,11.40,8.10,5.80,3.40
380,105892179,266426.20,30890,3624.80,140.90,67.90,45.90,9.30,14.20,7.90,7.60,5,2.60
379,88200000,94404.40,51135.70,1391.40,95.90,59.40,20.90,7.10,7.20,7.30,4.20,4.30,2.60
378,25227296,0,31471.70,2866.50,126.80,52.30,44.10,15.50,14.80,8.70,6.90,5.70,8.15
377,13335000,0,0,4805.40,193,84,71.50,20.90,21.50,11.90,8.80,6.50,9.13
376,38301216,249297.60,79589.90,4997.70,182.40,76.70,70.30,21.70,20.40,12,8.60,6.90,11.31
375,25974202,156654.40,36610.80,3293,183.30,87.70,48.10,19.60,14,11.80,6.10,6.20,9.53
374,13275000,357455.60,67626.70,3916.60,199.10,82.80,55.50,21.60,16.10,12.20,6.60,6.70,10.21
373,13269000,0,27671.80,2196.10,112.50,49.60,35.80,14.10,12.30,8.10,6,5.10,7.06
372,60861008,260835.50,39187.50,1720.90,117.40,54.80,30.40,15.70,10.10,9.80,4.80,5.40,8.17
371,94101577,233137.30,36502.40,4021.90,141.90,65.40,55.70,17.20,17.10,10.60,7.70,5.80,8.91
370,71628834,281393.80,79855,3802.60,190.70,93.50,52.30,19.80,15.40,13.10,6.70,6.30,10.85
369,53278317,227826.30,0,2979.40,177,85.20,42.70,17.50,12.70,11.50,5.60,5.60,8.21
368,37687076,418118.30,88991.40,5085.20,227.60,100.10,66.30,23.50,17.50,14.40,7.20,6.80,11.68
367,24146665,360605.70,68222.70,4616.50,230.90,114.20,54.40,21,15.10,14,6.40,6.30,10.16
366,12714000,168568.60,77735.20,3390.80,133.10,58.80,58.10,16.60,19.30,10,9,5.50,11.14
365,4873639.80,226621,45936.60,3994.40,181.80,83.80,52.80,20.60,15.70,13.10,6.70,6.50,50.81
364,12940500,183908.80,71761.70,4362.40,197.90,91.90,54.90,19.40,15.50,12.30,6.70,5.80,8.82
363,12354361,130177.90,20934,2451.20,80.30,41.80,40.80,11.90,14.40,8.10,7.10,4.70,8
362,12657000,273664.20,69032.40,5283,186.70,83.40,73.80,20.60,21.70,12.30,9,6.70,12.25
361,12487500,259514.70,0,5009.90,157,71.80,67.70,20.50,21,12.30,8.90,6.60,10.31
360,13178614,362016.10,59928.30,5771.50,241.10,104.60,75,24.20,21.80,14.40,8.70,7.50,13.81
359,16301884,388384.20,88173.70,3558.20,206.40,90.10,54,22.80,16.80,13.10,6.90,7.40,11.51
358,37234742,349534.30,53411.10,4167.70,214,102.30,58.30,22.10,17,14.10,7,6.70,11.49
357,24100215,555110.60,0,5488.80,201.10,91,76.90,20.90,21.80,12.50,9.30,6.30,11.06
356,12748500,541175.90,0,3134.20,159,73.90,53.80,19.50,17.10,11.90,7.30,6.60,11.79
355,38556253,300602.30,68244.80,3692.90,195.20,95.60,48.30,21.70,14,14.20,5.60,6.60,10.40
354,25874272,99411.70,34480.60,4182.20,167.60,71.90,60.20,19.50,17.60,11.80,7.70,6.30,9.22
353,13716650,263738,46777.80,3405.10,158.90,57,51.20,18.60,16.40,9.50,7.50,6.40,11.07
352,25300621,425575.60,46450.50,2954.20,138.90,77.80,51.10,16.40,16.20,11.70,7.30,5.40,9.08
351,13042500,0,58101.10,5533.40,174.60,74.10,71.90,19.30,22.20,10.80,9.50,6.40,9.59
350,13115962,167269.80,44077.80,2003.50,107.80,62.60,28.60,13.20,9.20,9.60,4.50,4.80,7.67
349,13152000,333244.60,94569.40,4590.70,253.80,128.20,56.20,27.10,15.10,17.10,5.50,7.90,13.20
348,113019926,521015.20,70036.90,4569.70,207.80,94.30,63,22,18.90,12.80,7.90,6.80,121.89
347,87100000,268411.50,67707.40,2237.80,129.80,61.60,40.40,17.20,15.10,11.10,7.40,6.30,10.53
346,12235471,433186.60,122931.30,3540.60,232.80,97.80,55.50,23.50,15.50,13.10,6.70,7.20,10.76
345,12558000,0,37677.10,4186.30,146.50,65.70,59.30,17.70,18.10,10.50,7.80,5.90,8.34
344,12454500,0,42504.10,1572.40,150.60,76.30,54,18.70,16.10,12.30,7.20,6.20,8.88
343,12543000,179185.20,55934.80,3769.10,196.20,83.80,55.70,21.90,17.10,12.30,7.20,6.90,10.07
342,6173250,283647.30,56346.10,1871.90,151.70,70,35.30,18.40,13.50,11.10,6.80,6.60,10.93
341,12202500,495204.30,80303.40,4015.10,230.70,91,62.10,24,17.70,12.80,7.80,7.40,55.56
340,4093500,129787,34892.90,2675.40,151.80,72.40,44.40,17.20,14.50,10.80,6.50,5.90,9.24
339,12502500,693573,98412.30,4055.40,169.10,94.90,58.10,18.10,17.90,12.90,8,5.90,13.03
338,23414853,533765.70,55081.40,2607.10,165.80,72.40,41,18.90,13.20,10.70,6.20,6.30,9.80
337,12592500,337219.80,191395,5126.60,196,97.20,65.90,23.50,18.60,14.40,7.40,7,11.25
336,35767540,177015.10,50234,6057.90,218.30,108.50,77.80,27.10,23.50,16.80,9.90,7.80,12.89
335,23591586,349323.70,297397.20,3218.50,165.70,89.50,44.90,19.10,15.80,13.20,7,6.60,10.57
334,12424500,0,0,6204.40,246.40,106.20,79.60,26.20,22.30,14.40,9,7.50,10.40
333,23090988,267525.20,46719.50,3707.90,124.60,63.40,58.50,16.50,21.60,10.70,9.80,6.40,11.14
332,12540000,0,550723.30,6587.60,302.20,140.60,81.10,28.10,23.30,16.10,9.50,8,17.04
331,12408000,263598,66493.20,4190.70,160.80,75.20,72.10,19.70,21.40,12,9.20,6.70,51.76
330,12442500,0,51975.40,3964.80,207.90,89.90,59.10,22,17.40,12.60,7.40,6.90,9.22
329,12693000,264921.70,120288.80,4619.30,240.80,100.50,50.50,22.80,12,13.90,4.80,6.50,47.26
328,13072500,258472,39120,2951.70,146.60,75.90,46.70,17.30,14.10,11.30,6.40,5.70,8.56
327,84451320.60,242957.10,43875.50,5107.20,202.60,100.10,79.80,22.60,21.50,14.50,8.90,6.80,163.37
326,67967955,0,31724,2710.50,136.80,55.70,50,15.80,16.30,9.10,7.30,5.50,7.83
325,52603784,238034.30,61921,3446.40,184.40,85,55.10,18.70,16.40,11.20,6.90,6.20,10.10
324,38064784,612294.20,77226.30,5225.80,250.90,110.20,75.90,23.10,19.50,13.60,8.10,6.80,13.26
323,25378348,0,28398.40,2429.20,109.50,50.20,39.60,14.10,13.20,8.80,6.20,5.10,7.02
322,13177500,349803.10,119122.10,3376.40,158.30,78.20,51.50,16.50,16.30,10.70,7.50,5.50,10.07
321,13339500,198533.10,46950.40,2834,125.40,71.90,50,15.30,16,10.90,7.20,5.30,8.42
320,39754555,416636.30,59117.30,4735.70,212.80,97.90,56.40,22.70,16,13.50,6.80,7,115.47
319,26412247,220914.80,52243.30,3893.90,184.70,86.60,55.70,19.70,15.90,12.20,6.70,6.20,10.32
318,13633500,367413.80,125119.30,5958,228.10,110.30,69.50,22.60,22.30,15,8.90,7.10,12.79
317,41706216,307736.60,69864.50,3838.70,201.10,92.40,55.50,20.30,16,12.90,6.90,6.10,9.64
316,26963008,163961.40,40713.40,2658.80,103.40,56.40,51.40,14,17.10,9.80,8,5.20,8.26
315,13222500,0,52964.60,4988.80,229.20,109.30,76.90,22.70,22.70,15,9,6.70,10.10
314,56008113.20,395255.90,67300.30,4108.60,217.80,91.60,59.90,23.20,16.30,12.90,6.70,7,64.28
313,87570000,250839.30,71184.10,4647.10,219.50,104.70,68.70,24.70,19.50,15.30,8,7.20,12.13
312,25403095,0,59094.80,2573.80,147.10,74,37.70,17.10,11.50,11.60,4.80,5.60,7.22
311,13197000,0,57669.70,3677.90,147.50,65.40,59.60,17.50,17.80,10.70,7.60,6.10,8.66
310,26151124.20,0,50000.30,3184.70,120.20,71.60,42.60,18.40,15.20,11.40,6.60,6,71.14
309,38666984,577360.30,109230.30,6159.60,223.70,100,73.60,21.40,22.40,12.20,9.70,6.70,11.92
308,25315385,207513.40,49074.10,2580.50,137.60,76.40,33.80,14.90,10.90,10.40,4.90,5.20,8.77
307,13590000,345806.80,98134.30,1752.30,126.70,71.50,26.90,13.50,8.90,9.80,4.20,4.70,6.95
306,52883496,867566.80,67145.80,4587.60,228.20,101.60,66.80,24.10,18.80,14.70,7.70,7.30,14.75
305,39585642,616198.60,87433.50,7457,289.10,129.30,91.70,29.60,24.60,17.80,9,8.70,16.80
304,26301056,140538.70,74779.90,3621.30,197.50,84.10,60.10,19.50,17.40,11.70,7.40,6.10,9.08
303,13660500,176470,32404.20,3513.20,86.50,41.30,54.70,12.50,18.20,7.20,8.70,4.80,7.91
302,13536000,312039.80,103310.50,4564.50,201.80,89.50,59.70,20.50,18,12.70,7.80,6.40,11.21
301,14839480,241561.90,48965.20,3242.70,138.40,71.10,47.70,15.60,15.10,10.40,6.80,5.10,7.94
300,45570835.50,0,62415.30,3184.40,158.50,77.30,47.50,18.40,13.90,11.90,5.80,5.80,136.46
299,71278155,464999.70,46573.90,3326.70,172.30,85.20,50.70,20.30,14.40,12.30,6,6.30,9.37
298,55868893,279013.60,47507.70,2664.90,143,63.10,41.20,18,13.30,10.30,5.90,6.10,9.39
297,40391228,0,0,3550.40,157.80,77.10,54.10,17.10,16.80,11.30,7.20,5.60,7.94
296,27066647,437940,51783.40,3170.40,148,78.70,46.90,17.40,14.40,11.60,6.60,5.80,9.98
295,13764000,0,45339.70,4224.10,187,96.60,53.40,18.60,14.60,12.30,5.80,5.50,7.74
294,13830000,0,45393.50,2925.40,125.80,59.30,45.80,15.20,14.40,9.10,6.40,5.20,7.64
293,90740000,360223.90,59183.30,3788.60,177.90,78.60,53.70,20.10,16.30,12.20,6.90,6.50,10.34
292,37805108,460154.70,59356.50,3672.20,211.90,94.70,50.80,22.20,14.70,13.20,6.30,6.80,10.27
291,24942782,349732.70,99248.40,3375.70,161.70,81,49.60,18,15.60,11.40,7.10,5.90,9.56
290,13219500,263795.70,11977.50,5859.90,267.20,128.60,63.30,25.60,16.60,17.10,6,7.60,12.35
289,32731271,273165.90,45600,2796.50,134.50,71.10,37.10,17,11.60,11.20,5,5.60,8.32
288,49372566,0,51234.30,3716.70,164.10,72.20,54.90,18.70,16.90,11.20,7.30,6,8.48
287,35727239,277740,48503.40,3106.10,125.10,60.30,45,16.30,14.50,10.40,6.50,5.80,9.14
286,23957846,165198.70,0,2890.80,128.90,59,42.40,15.50,13.30,9.30,6.30,5.20,7.60
285,13008000,286508.50,47428.70,3359.70,176.70,102.40,40.30,17.30,15,13.30,6.40,6.40,11.64
284,49802092,257824,50653.50,2294.40,155.10,69.90,36.30,18.30,11.30,10.80,4.80,6,8.12
283,36399342,244958.20,48125.90,4099.80,190,87.90,49.80,20.60,16.60,12.90,7.30,6.90,10
282,24056336,531733.10,67065.40,5132.50,236.90,114.90,70.50,23.50,20.60,14.30,8.60,7.40,12.77
281,12787500,0,30309.40,2214.10,123.90,56.30,39,17.10,13,9.50,5.90,6,7.74
280,12853500,291549.80,96526.60,2154.60,128.90,65.70,35.60,15.60,11.60,10.70,5.20,5.50,8.95
279,24951269.40,248468.20,88139,2596.10,169.60,82,43.20,19,13.80,11.70,6.20,6,71.55
278,37574774,274036.10,47856.60,2645.10,150.80,80.50,39.10,17.30,11.90,12,5.20,5.60,8.18
277,24953014,539516.40,47109.50,4915.10,250.10,103.50,70.40,24.80,18.90,14.60,7.40,7,11.73
276,13254000,272536.40,60154.40,3195.90,161.80,68.50,49.10,17.60,15.60,9.60,6.80,6.10,9.10
275,13402500,550363.80,89248.10,4648.30,201,95,55.20,20,15.90,12.60,6.60,6.30,12.38
274,113229891,244317.60,47146.70,4431,177.40,78.80,68,19.70,20.30,11.30,8.60,6.10,9.35
273,88364737,211152.20,36874.80,3141.30,162,89.30,44,19.40,12.70,13.30,5.20,6.10,9.49
272,69762491,207334.10,63741.20,2589.30,124.90,63.80,37.90,15.40,12.20,10,5.50,5.40,8.12
271,51694404,273913.80,36820.50,3028.50,158.60,64.20,49,17.50,14.90,10.60,6.60,5.60,8.55
270,38126495,753913.20,80230.60,4494.70,215.60,107.50,61,21.80,16.90,13.70,7,6.70,12.39
269,25879558,0,77807.40,4228.60,200.10,77.80,57,22.40,16.30,11.70,6.50,7.10,9.23
268,14082000,0,50475.50,3795.10,185.60,86.90,65.40,19.50,19.60,12.20,8.10,6.10,9.07
267,14023690,0,29510.20,1925.90,127.10,59.80,37.20,16.30,12.30,9.70,5.60,5.50,7.24
266,14858473,170194.60,27047.10,3285.60,133.80,52,62,18.70,19.20,10.40,8.20,6.40,9.80
265,45060000,198425.40,38713,3277.20,134.80,70,46.10,15.10,14.80,10.20,6.70,5.10,8.25
264,38191683,399943.80,85123.10,4462.50,214.30,96.40,65.60,22.40,18.70,13.40,7.90,6.80,12.12
263,25094625,0,136776.50,3907.90,176.90,77.70,54.70,18.10,17.60,10.40,7.90,5.50,8.55
262,13461000,0,0,5678,154.30,67.40,63,16.80,20.10,10.40,8.50,5.90,8.40
261,6563250,70522.60,16481.40,464.80,26.30,13.10,35.90,17.30,12.50,12,5.40,6.40,10.47
260,25509888,0,63787.20,5541.30,236.80,114.90,56.70,23.60,14.70,15.30,5.80,6.70,9.40
259,14193000,454839,0,4852.40,251.30,115.50,60,24.70,15.60,14.80,6,7.20,11.10
258,13554000,311877.50,75862.10,2809.70,137.10,64,43.60,16.20,13.40,10.10,6.10,5.30,8.46
257,50993587,192230,50655.20,3165.90,140.80,59.50,55.30,16.80,17.50,9.10,7.70,5.70,8.54
256,38731512,432608.40,0,4818.10,261.90,123.20,76.80,26.70,20.20,15.80,7.60,7.90,13.51
255,25725186,0,0,2773,129.20,69.90,47.20,15.20,14,10,6.30,5.10,7.02
254,14019000,0,164066.40,3624.40,224.90,103.70,49.20,20.80,12.40,13.80,4.90,6,8.26
253,6723750,494165,62327.10,2946.10,190.70,91.70,49.30,20.90,15.20,13.90,6.60,6.50,11.27
252,12993000,102331.40,0,1876.20,119.30,67.60,36.90,15.90,11.70,11.20,5.40,5.40,7.39
251,23209583,0,36522.80,3114.90,143.70,63.20,47.50,16.70,14.60,10.20,7,5.80,8.24
250,12733500,212306.60,36149.50,3797.20,157.80,73.50,54.40,17.90,15.90,10.80,6.90,5.80,9.18
249,12916500,149227.40,28975.10,2354.60,98.80,51.80,43.40,13.70,15.20,8.90,7.40,5.10,8.08
248,12232500,296197.90,34611.30,3335.50,125.90,53.60,51.40,15.50,16.40,9.40,7.70,5.40,9.07
247,17036151.50,203760.30,77098.50,2664.60,165.10,91.10,47.60,20.80,13.90,14,5.90,6.60,11.78
246,22430836,376398.90,0,5651.60,206.20,85.60,66.80,21.20,19.40,11,8.40,6.60,13.13
245,11643000,433035.50,0,3251,152.50,87.70,46.50,16.50,15.40,11.90,7.10,5.90,9.46
244,22911461,804374.70,0,3821.40,186.70,75.20,61.70,22.50,19.40,11.90,8.30,7.30,15.31
243,11697000,335845,41696.90,4038.40,123.90,68.50,59.80,16,19.70,11.20,9.10,5.60,10.04
242,102804000,7055142.10,62713.10,4997.80,212.90,93.60,77.20,23.10,23.20,13.70,9.70,7.40,34.63
241,11848500,249195.50,0,4329.60,197.90,84.30,66.60,21.90,20.10,12.30,8.60,7,11.46
240,11902500,249285,57880.60,2628.70,165.40,77.90,35.30,18.90,11.30,11.60,5.10,6.50,9.16
239,48247118.50,363663.20,78918.90,4336.20,188.60,87.50,53.80,19.30,16.10,11.60,7.20,6.10,11.59
238,73535143,343531.30,51309.80,4903.80,239,109.10,61.60,23.70,16.60,15.30,6.60,7,11.97
237,56497830,0,58785.80,2006.80,135.10,76.50,30.50,15.50,10.40,11.60,5.30,5.50,7.27
236,42652554,385838.40,109494.60,4512.10,165.10,83.80,54.70,18.70,17.20,12.60,7.80,5.90,10.03
235,31572685,205974.90,71441.70,4592.60,194.30,100.90,55.70,19,16.50,12,7.20,6.50,10.80
234,21278542,0,24303.60,2734.70,121.40,62.10,51,17.60,17.20,11.20,7.90,6.30,8.60
233,11836500,0,33482.50,2114.10,108.40,55.20,34.50,14,12.30,9.70,6.30,5.30,7.57
232,11904000,492963.90,69947.50,4441.10,167,85.40,61.50,18.60,18.10,13,8.10,6.10,12.06
231,12022500,129407.50,45904.70,3482,126.80,60.60,49.10,14.40,16.70,9.40,8.10,5.30,9.70
230,11887500,0,183229.30,1878.60,120.90,67.70,29.40,14.80,10.10,11,5.30,5.20,7.44
229,46162270,842187.50,71699.70,3181,184.90,98.50,46.30,20.50,13.80,14.30,6,6.50,11.39
228,34282210,0,105679.20,3102.10,211.10,99.90,47.30,22.20,13.20,14.80,5.40,6.70,9.09
227,23643210,277657.90,0,3808.50,236.60,104.90,57.60,24.60,16.20,13.90,6.90,7.50,10.85
226,12021000,0,42095.70,3870.10,156,70.10,58.10,17.80,18.30,10.50,8.30,6,9.32
225,11785500,0,50373.60,3533.80,179.40,69.50,45.10,19.10,13.70,10.60,6.20,6.40,8.29
224,2989875,78653.10,0,2996.80,125.80,55.90,52.10,15.90,17.30,9.20,8.10,5.70,8.89
223,44376310,274574.10,46751.80,3552.50,144,64.70,50.40,18,16.30,10.40,7.40,6.30,9.31
222,32235833,318655.20,0,6459.20,268.40,118.10,80,25,21.80,15.30,9,6.80,11.46
221,21330632,703871.30,66582.40,4755.80,286.40,119.60,71.70,28.10,19.50,16.50,7.80,8.30,15.06
220,11808000,0,0,3788.50,153,74.30,53.40,18.90,16.50,11.40,7.30,6.30,8.61
219,46291408,0,46385.70,2663.90,130.20,65.40,41.80,15.50,13.80,9.80,6.50,5.50,7.66
218,34029801,194586.70,0,2834.20,151.40,77.80,45.20,19.80,13.80,13.40,5.80,6.40,8.77
217,22132109,0,0,5931.30,216.50,89.70,63.60,23.20,18,12.40,7.70,7,9.70
216,11893500,181380.50,37746.70,1972.80,103.60,49.40,41.80,14.90,15.10,9.10,7.10,5.80,8.80
215,11700000,215371.20,0,2826.60,146.30,65.50,44.60,18.90,14.90,10.50,6.90,6.70,9.48
214,21956568,0,57687.80,4276,186.90,80.10,54.40,21.60,17.10,11.80,7.50,7,10.09
213,11449500,359099.90,50953.30,3333.90,165.90,66.20,53.50,19,17.30,9.60,8,6.70,10.91
212,11482500,0,0,5327.40,244.60,122.90,83.90,26.60,23.40,16.10,9.20,8,10.99
211,21828987,400813,85308.10,7064.80,225.20,110.50,84.90,25.20,25,15.10,10.70,7.70,13.26
210,11254500,473488.20,111973.50,4751.30,230.90,104.90,66.70,23.90,18.90,14.40,7.90,7.20,14.15
209,96525000,6462181.30,56931.50,4697.80,198,86.70,66.80,22.30,20.50,12.70,8.90,7.10,39.10
208,11314500,231436.40,0,4836.30,277.70,126.80,76,27.80,20.80,16.20,8.40,8.20,12.76
207,56838131,257540.90,29691.10,4494.40,146.50,56.20,71.30,19.10,22.10,10.40,9.90,6.70,10.71
206,43043848,0,68469.60,5240,232,104.30,64.60,23.80,18.40,13.90,8.10,7.50,10.50
205,30830593,598011.40,96974.80,4407.90,207,97.70,62.80,23.50,18.60,14.50,7.90,7.50,13.42
204,20174823,0,117395.20,2852.10,162.60,89.80,37.40,18,11.60,12.90,5.30,6,8.01
203,11092500,673970,114757,5123,263.70,119.10,74.90,24.90,21.20,14.60,8.50,7.50,14.54
202,20144622,373854.60,45468.80,4639.60,159,76.60,69.40,19.50,21,12.90,9.40,6.30,10.94
201,10765500,690689.30,0,6000.10,201.80,102,73.10,23.50,21.50,15.10,8.70,7.30,13.62
200,19829479,2162396.70,204551,5923.20,271.80,128.80,85.90,28.50,23.70,16.50,9.30,8.10,24.09
199,10713000,0,85648.30,4979.50,180.60,85.80,68.80,21.70,20.60,12.60,9.10,7,10.17
198,19779134,0,0,4726.10,195.70,89.30,65.90,21.40,19.50,12.80,8.30,7,9.46
197,10744500,190786.10,66173.50,3832.40,176.20,65.10,65.50,21.20,20.70,10.60,9.50,7.20,12.21
196,5283750,0,47259,3626.70,138.50,81.80,55.80,17.20,17.50,13.40,8.10,6,9.12
195,28675991,344736.10,42800.80,4367.40,203.80,92.60,72.40,21.40,22.10,13.10,9.80,6.90,13.29
194,19424115,0,80555.10,6769.30,264.30,108.40,85.70,27.20,24.60,14.90,10.30,8.10,12.41
193,10515000,299353.50,74332.70,5818.60,238.10,115.50,83.10,23.90,23.30,15.50,9.80,7.10,16.65
192,5250000,542914.90,88040.20,4585.40,204.50,100.50,72.30,22.60,23.10,15.40,9.50,7.80,14.29
191,2085000,167477.30,26615.30,2274,139.10,73.70,42.20,19.70,14,14.20,6.20,6.70,9.23
190,89986000,6989367.40,91864.20,4571.60,218.50,114,63.20,21.30,18.50,14.70,7.90,6.40,53.60
189,19075668,311846.30,77434.70,6232.10,266.20,121.60,83.10,26.80,23.10,15.80,9.60,8,14.48
188,10407000,411604.30,64892.50,3284.70,131.30,61.60,49.60,15.90,17,10,8.50,6,10.60
187,10222500,355592.70,100911.40,4859.20,261.80,140.60,57.10,25.20,13.60,17.50,5.60,7,11.80
186,26533767.50,391699.30,0,4452.20,195.90,110.40,62.90,20.20,18.80,15,8.30,6.50,119.79
185,18180933,696762.10,84741.30,6323.90,254.70,133.90,87,23.50,23.20,16.40,9.80,6.80,14.24
184,10245000,651473.20,92438.70,8085,225.50,106.60,86.10,22.30,24.70,13.60,10.50,6.80,14.34
183,35425411.80,0,64260,6311.20,283.50,137,73.10,29.90,19.90,17.90,7.40,8.80,170.18
182,26567438,0,82278.80,6353.50,246.60,108.80,89.10,27.40,25.60,15.50,10.60,8.50,12.35
181,18065039,307937.30,0,6425.50,229.90,93,84.40,22.20,25.40,12.90,10.70,7.20,12.19
180,10129500,297319.20,73827.50,5082.70,197.90,87.30,63.10,22.10,19.10,11.90,8.40,7.20,12.19
179,38751123,313340.60,80837.20,4350.30,205,94.30,57.70,21.20,17,13.30,7.60,6.70,10.94
178,27130830,214988.10,44740.70,6566.60,260.80,115.90,92.90,25.50,26.60,14.40,11.50,7.60,13.62
177,18141468,0,34977,5418.10,163.70,76.20,65.40,20,19.90,12.20,8.80,6.90,10.21
176,10143000,259708.40,0,3452,168.80,92.80,55,18.20,18.40,13.60,8.70,6.10,10.33
175,18315755,0,39919,2492.90,124.50,52.40,50.40,16.70,18.10,9.90,8.40,6.60,9.08
174,10227000,993274.40,40267.80,3412.50,190.20,74.80,49.70,20.90,15.70,10.70,6.80,7.30,15.12
173,10213500,0,0,7015.50,254.30,120.10,81.30,28,23.60,16.80,9.60,8.50,11.51
172,10198500,0,54883.20,5073.20,229.90,97.40,86.30,26.40,26.40,14.60,11.40,7.80,11.78
171,10300500,0,0,4825.10,292.70,134.70,60.70,29.70,17.50,17.60,7.70,9,11.21
170,12184606,417371.30,54666,2685.70,178.90,74.90,46.50,21.20,15.10,12.20,6.80,7.10,10.97
169,27129600,0,0,5019.60,241.70,113.20,72,25.90,19.90,16.70,8.20,7.80,10.55
168,18412118,103585.30,14697.90,4453.90,125.80,57,78.90,19.10,24.50,11.60,10.70,7,10.83
167,10222500,0,0,2635.70,214.70,99.90,44.80,25.60,14.50,15.40,6,8.40,9.72
166,10255500,363790.60,80296.10,3166.80,226.30,108.90,44.40,23.80,12.50,15.70,5.40,7.50,11.24
165,18409444,0,90113.20,5703.30,257.30,123.80,67,24.80,19.70,15.70,8.20,7.70,10.88
164,10222500,0,0,5111.90,244.80,103.20,85.30,25.70,25.50,13.80,10.80,8.10,11.27
163,27883920,407285.70,69348.60,4629.40,194.30,88.20,60.30,20.60,18.40,13.20,8.40,6.90,12
162,19068212,0,163855.90,5033.90,243,115,66,27.40,19.80,16.40,8.70,8.20,11.99
161,10222500,0,109053,7921.50,326.20,138.70,94.90,30.40,24.40,17.10,10,8.40,13.17
160,14407661,232466.80,48378.20,3729,185.30,96.30,52.80,23.20,16.30,15.40,7.10,7.50,12.01
159,19003239,161010.40,52721.70,1966,130.60,82.30,32.70,16.80,11.60,13.20,5.80,6.10,10.56
158,10147500,332104.60,0,4712.20,206.90,100.60,73.60,22.40,21.50,13.40,9.60,7.20,13.75
157,66980000,278557.50,40722.70,4247.30,225.90,104.80,58.40,23.40,17.60,13.30,7.40,8.10,12.80
156,17980945,406202.50,40684.80,3714.50,154,34.90,66.10,23.20,19.90,12.30,8.40,7.70,12.57
